Metric,Risk,Cause,Location,Brk year,Seg 1 years,"Seg 1 APC (95% CI), %",Seg 2 years,"Seg 2 APC (95% CI), %","AAPC, %"
Deaths ASR,PM2.5,COPD,China,2009,1990-2008,3.07 (2.61 to 3.53),2009-2021,-6.32 (-7.23 to -5.39),-0.85
Deaths ASR,PM2.5,COPD,Japan,2010,1990-2009,-3.74 (-4.01 to -3.47),2010-2021,-3.21 (-4.05 to -2.36),-3.54
Deaths ASR,PM2.5,COPD,Republic of Korea,1999,1990-1998,-0.71 (-1.30 to -0.12),1999-2021,-4.22 (-4.48 to -3.97),-3.25
Deaths ASR,PM2.5,COPD,East Asia,2009,1990-2008,3.02 (2.56 to 3.47),2009-2021,-6.28 (-7.19 to -5.35),-0.87
Deaths ASR,PM2.5,COPD,Global,2008,1990-2007,1.55 (1.34 to 1.77),2008-2021,-2.19 (-2.73 to -1.66),-0.10
Deaths ASR,PM2.5,COPD,High SDI,2007,1990-2006,1.07 (0.85 to 1.29),2007-2021,-4.54 (-5.20 to -3.87),-1.60
Deaths ASR,PM2.5,Lower respiratory infections,China,2014,1990-2013,-2.51 (-2.75 to -2.28),2014-2021,-8.10 (-9.41 to -6.77),-3.94
Deaths ASR,PM2.5,Lower respiratory infections,Japan,2014,1990-2013,-2.36 (-2.67 to -2.05),2014-2021,-11.49 (-12.69 to -10.26),-4.73
Deaths ASR,PM2.5,Lower respiratory infections,Republic of Korea,2003,1990-2002,-3.50 (-4.15 to -2.84),2003-2021,4.81 (3.79 to 5.83),1.35
Deaths ASR,PM2.5,Lower respiratory infections,East Asia,2014,1990-2013,-2.35 (-2.57 to -2.13),2014-2021,-8.06 (-9.38 to -6.73),-3.81
Deaths ASR,PM2.5,Lower respiratory infections,Global,2014,1990-2013,-1.49 (-1.62 to -1.36),2014-2021,-4.06 (-5.66 to -2.44),-2.14
Deaths ASR,PM2.5,Lower respiratory infections,High SDI,2014,1990-2013,-2.71 (-2.96 to -2.46),2014-2021,-5.66 (-6.99 to -4.30),-3.46
Deaths ASR,Ozone,COPD,China,2007,1990-2006,2.38 (2.18 to 2.58),2007-2021,-8.74 (-9.78 to -7.69),-2.99
Deaths ASR,Ozone,COPD,Japan,2010,1990-2009,0.53 (0.04 to 1.03),2010-2021,-2.14 (-2.82 to -1.46),-0.48
Deaths ASR,Ozone,COPD,Republic of Korea,2001,1990-2000,1.99 (0.17 to 3.84),2001-2021,1.85 (1.25 to 2.46),1.90
Deaths ASR,Ozone,COPD,East Asia,2007,1990-2006,2.35 (2.15 to 2.54),2007-2021,-8.57 (-9.58 to -7.55),-2.92
Deaths ASR,Ozone,COPD,Global,2009,1990-2008,1.91 (1.77 to 2.05),2009-2021,-1.97 (-2.51 to -1.43),0.31
Deaths ASR,Ozone,COPD,High SDI,2009,1990-2008,1.22 (0.99 to 1.44),2009-2021,-4.00 (-4.60 to -3.40),-0.94
DALYs ASDR,PM2.5,COPD,China,2009,1990-2008,2.67 (2.24 to 3.09),2009-2021,-6.20 (-7.08 to -5.31),-1.03
DALYs ASDR,PM2.5,COPD,Japan,2013,1990-2012,-1.99 (-2.24 to -1.75),2013-2021,-5.41 (-6.67 to -4.13),-2.97
DALYs ASDR,PM2.5,COPD,Republic of Korea,2014,1990-2013,-1.05 (-1.25 to -0.84),2014-2021,-5.94 (-6.80 to -5.07),-2.30
DALYs ASDR,PM2.5,COPD,East Asia,2009,1990-2008,2.62 (2.20 to 3.04),2009-2021,-6.16 (-7.04 to -5.26),-1.04
DALYs ASDR,PM2.5,COPD,Global,2007,1990-2006,1.23 (1.06 to 1.41),2007-2021,-1.73 (-2.12 to -1.34),-0.17
DALYs ASDR,PM2.5,COPD,High SDI,2007,1990-2006,0.47 (0.30 to 0.64),2007-2021,-4.37 (-4.94 to -3.79),-1.83
DALYs ASDR,PM2.5,Lower respiratory infections,China,2002,1990-2001,-2.62 (-3.05 to -2.18),2002-2021,-7.79 (-8.37 to -7.20),-5.88
DALYs ASDR,PM2.5,Lower respiratory infections,Japan,2014,1990-2013,-2.55 (-2.88 to -2.22),2014-2021,-11.57 (-12.73 to -10.40),-4.89
DALYs ASDR,PM2.5,Lower respiratory infections,Republic of Korea,2004,1990-2003,-5.63 (-6.10 to -5.15),2004-2021,3.16 (2.16 to 4.18),-0.78
DALYs ASDR,PM2.5,Lower respiratory infections,East Asia,2003,1990-2002,-2.87 (-3.30 to -2.44),2003-2021,-7.72 (-8.37 to -7.07),-5.78
DALYs ASDR,PM2.5,Lower respiratory infections,Global,2014,1990-2013,-2.23 (-2.35 to -2.10),2014-2021,-4.82 (-6.56 to -3.05),-2.88
DALYs ASDR,PM2.5,Lower respiratory infections,High SDI,1998,1990-1997,-2.02 (-2.70 to -1.34),1998-2021,-4.65 (-4.91 to -4.39),-4.00
DALYs ASDR,Ozone,COPD,China,2007,1990-2006,1.96 (1.77 to 2.15),2007-2021,-9.22 (-10.28 to -8.15),-3.45
DALYs ASDR,Ozone,COPD,Japan,2010,1990-2009,0.28 (-0.22 to 0.78),2010-2021,-2.05 (-2.75 to -1.34),-0.60
DALYs ASDR,Ozone,COPD,Republic of Korea,2001,1990-2000,1.12 (-0.68 to 2.95),2001-2021,1.46 (0.86 to 2.07),1.34
DALYs ASDR,Ozone,COPD,East Asia,2007,1990-2006,1.93 (1.74 to 2.12),2007-2021,-9.01 (-10.05 to -7.97),-3.35
DALYs ASDR,Ozone,COPD,Global,2009,1990-2008,1.56 (1.41 to 1.70),2009-2021,-1.90 (-2.45 to -1.35),0.14
DALYs ASDR,Ozone,COPD,High SDI,2009,1990-2008,0.68 (0.44 to 0.92),2009-2021,-4.31 (-4.91 to -3.70),-1.38
