analysis_window,metric_column,metric_label,risk,cause,location_name,n_points,selected_model,selected_breakpoint_years,bic_0_break,bic_1_break,bic_delta_0_minus_1
1990-2019,deaths_asr,Deaths ASR,ozone,copd,China,30,1-break,2007,-75.93843215323218,-147.0140740289992,71.07564187576702
1990-2019,deaths_asr,Deaths ASR,ozone,copd,East Asia,30,1-break,2007,-77.08338974352218,-148.48006896063575,71.39667921711357
1990-2019,deaths_asr,Deaths ASR,ozone,copd,Global,30,1-break,2009,-135.66474353984364,-210.48177497274432,74.81703143290068
1990-2019,deaths_asr,Deaths ASR,ozone,copd,High SDI,30,1-break,2009,-114.15002893565196,-188.52402494719644,74.37399601154448
1990-2019,deaths_asr,Deaths ASR,ozone,copd,Japan,30,1-break,2010,-131.17194407111035,-157.16096630637554,25.989022235265196
1990-2019,deaths_asr,Deaths ASR,ozone,copd,Republic of Korea,30,1-break,2001,-73.89597101993499,-131.35413226368067,57.45816124374568
1990-2019,deaths_asr,Deaths ASR,pm25,copd,China,30,1-break,2007,-96.34180884150912,-166.03514657935824,69.69333773784912
1990-2019,deaths_asr,Deaths ASR,pm25,copd,East Asia,30,1-break,2007,-96.94651667260291,-166.18523679789465,69.23872012529174
1990-2019,deaths_asr,Deaths ASR,pm25,copd,Global,30,1-break,2006,-154.34283693864626,-220.70208581909122,66.35924888044497
1990-2019,deaths_asr,Deaths ASR,pm25,copd,High SDI,30,1-break,2006,-125.03760304077778,-195.43959821045436,70.40199516967658
1990-2019,deaths_asr,Deaths ASR,pm25,copd,Japan,30,1-break,2008,-153.43827711571103,-189.95729692685973,36.519019811148695
1990-2019,deaths_asr,Deaths ASR,pm25,copd,Republic of Korea,30,1-break,1999,-145.107847836585,-204.0437171205353,58.9358692839503
1990-2019,deaths_asr,Deaths ASR,pm25,lri,China,30,1-break,2000,-165.8678863916729,-189.45492129767217,23.587034905999275
1990-2019,deaths_asr,Deaths ASR,pm25,lri,East Asia,30,1-break,2000,-165.67370823605037,-187.5651010879206,21.891392851870222
1990-2019,deaths_asr,Deaths ASR,pm25,lri,Global,30,1-break,2012,-201.36671482800045,-221.20342383723573,19.83670900923528
1990-2019,deaths_asr,Deaths ASR,pm25,lri,High SDI,30,1-break,2000,-183.46814303969526,-197.47831135673522,14.010168317039955
1990-2019,deaths_asr,Deaths ASR,pm25,lri,Japan,30,1-break,2012,-139.96344746368362,-161.55771979040867,21.594272326725047
1990-2019,deaths_asr,Deaths ASR,pm25,lri,Republic of Korea,30,1-break,2004,-87.41051384629762,-159.37270324484697,71.96218939854936
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,China,30,1-break,2007,-74.99245496481241,-145.62182316724716,70.62936820243475
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,East Asia,30,1-break,2007,-76.29698714000517,-147.1788228865407,70.88183574653553
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,Global,30,1-break,2009,-139.04770403536136,-207.36982386407882,68.32211982871746
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,High SDI,30,1-break,2009,-114.74102204557595,-186.13667636124734,71.3956543156714
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,Japan,30,1-break,2010,-133.5631209150905,-155.94499961339426,22.38187869830375
1990-2019,dalys_asdr,DALYs ASDR,ozone,copd,Republic of Korea,30,1-break,2001,-73.08244434114744,-131.10826681376108,58.02582247261364
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,China,30,1-break,2007,-99.53531450044808,-170.09146711750023,70.55615261705215
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,East Asia,30,1-break,2007,-100.17364827686268,-170.2158466488063,70.04219837194361
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,Global,30,1-break,2006,-166.56475912002657,-238.20071292764968,71.63595380762311
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,High SDI,30,1-break,2006,-133.13254530726317,-205.4059800317076,72.27343472444443
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,Japan,30,1-break,2012,-166.09943060791355,-177.74249785069193,11.643067242778386
1990-2019,dalys_asdr,DALYs ASDR,pm25,copd,Republic of Korea,30,1-break,2012,-165.5448860148042,-184.03267044698143,18.48778443217722
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,China,30,1-break,2000,-132.12152337734398,-189.0103290973641,56.888805720020116
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,East Asia,30,1-break,2001,-134.32189340397522,-188.77412126985632,54.4522278658811
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,Global,30,1-break,2012,-196.13985182806698,-225.52037309575363,29.380521267686646
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,High SDI,30,1-break,1998,-185.77171593436455,-196.53612480336878,10.764408869004228
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,Japan,30,1-break,2012,-138.80575717607715,-158.68701787272846,19.88126069665131
1990-2019,dalys_asdr,DALYs ASDR,pm25,lri,Republic of Korea,30,1-break,2005,-83.45040597270125,-168.56649131738396,85.11608534468272
